| Schedule ID | Stop Number | Stop Name              | Time Taken to Reach Stop (minutes) |
|------------|-------------|------------------------|------------------------------------|
| 1          | 1           | Thiruvananthapuram Central | 0                              |
| 1          | 2           | Kazhakootam            | 15                                 |
| 1          | 3           | Attingal               | 30                                 |
| 1          | 4           | Chirayinkeezh          | 45                                 |
| 1          | 5           | Varkala                | 60                                 |
| 1          | 6           | Kollam                 | 75                                 |
| 1          | 7           | Karunagapally          | 90                                 |
| 1          | 8           | Kayamkulam             | 105                                |
| 1          | 9           | Alappuzha              | 120                                |
| 1          | 10          | Cherthala              | 135                                |
| 1          | 11          | Aroor                  | 150                                |
| 1          | 12          | Ernakulam              | 165                                |
| 1          | 13          | Vyttila                | 180                                |
| 1          | 14          | Edapally               | 195                                |
| 1          | 15          | Kaloor                 | 210                                |
| 1          | 16          | Palarivattom           | 225                                |
| 1          | 17          | Kakkanad               | 240                                |
| 1          | 18          | Kochi                  | 255                                |
| 2          | 1           | Kozhikode             | 0                                |
| 2          | 2           | Kunnamangalam         | 15                               |
| 2          | 3           | Mukkam                | 30                               |
| 2          | 4           | Koduvally             | 45                               |
| 2          | 5           | Thamarassery          | 60                               |
| 2          | 6           | Kodenchery            | 75                               |
| 2          | 7           | Mukkom                | 90                               |
| 2          | 8           | Ramanattukara         | 105                              |
| 2          | 9           | Olavanna              | 120                              |
| 2          | 10          | Kakkodi               | 135                              |
| 2          | 11          | Perumanna             | 150                              |
| 2          | 12          | Koodaranhi            | 165                              |
| 2          | 13          | Puthuppadi            | 180                              |
| 2          | 14          | Iringadanpalli        | 195                              |
| 2          | 15          | Parappanangadi        | 210                              |
| 2          | 16          | Tanur                 | 225                              |
| 2          | 17          | Vallikunnu            | 240                              |
| 2          | 18          | Tirur                 | 255                              |
| 2          | 19          | Kuttippuram           | 270                              |
| 2          | 20          | Edappal               | 285                              |
| 2          | 21          | Ponnani               | 300                              |
| 2          | 22          | Guruvayur             | 315                              |
| 2          | 23          | Thrissur (Final Stop) | 330                              |
| 3          | 1           | Alappuzha           | 0                                |
| 3          | 2           | Ambalappuzha        | 15                               |
| 3          | 3           | Punnappra           | 30                               |
| 3          | 4           | Mararikkulam        | 45                               |
| 3          | 5           | Cherthala           | 60                               |
| 3          | 6           | Aroor               | 75                               |
| 3          | 7           | Vyttila             | 90                               |
| 3          | 8           | Palarivattom        | 105                              |
| 3          | 9           | Kakkanad            | 120                              |
| 3          | 10          | Kochi               | 135                              |
| 3          | 11          | Kalamassery         | 150                              |
| 3          | 12          | Edapally            | 165                              |
| 3          | 13          | Kalamassery         | 180                              |
| 3          | 14          | Aluva               | 195                              |
| 3          | 15          | Perumbavoor         | 210                              |
| 3          | 16          | Muvattupuzha        | 225                              |
| 3          | 17          | Thodupuzha          | 240                              |
| 3          | 18          | Pala                | 255                              |
| 3          | 19          | Ettumanoor          | 270                              |
| 3          | 20          | Kottayam (Final Stop)| 285                             |
| 4          | 1           | Ernakulam         | 0                                |
| 4          | 2           | Vyttila           | 15                               |
